Timestamp,Rating,1st Favorite,2nd Favorite,3rd Favorite,Additional Feedback,Advertising Source,Residential Commons,Duration of Stay,Food or Activity Recommendations,PC Familiarity
2/13/2025 15:19:17,10,Pasta,Hot Chocolate,Photo Ops,,Friends,Loyd,15 - 30 minutes,Pasta again,1
2/13/2025 15:19:30,10,Photo Ops,Bracelet Making,Hot Chocolate,,Instagram,Loyd,15 - 30 minutes,,4
2/13/2025 15:19:39,10,Hot Chocolate,Cupcakes,Pasta,,Friends,Loyd,30 minutes - 1 hour,,10
2/13/2025 15:23:57,10,Bouquets,Hot Chocolate,Bracelet Making,,Friends,VS,30 minutes - 1 hour,More hangouts ,7
2/13/2025 15:24:18,9,Bouquets,Hot Chocolate,Cupcakes,,Instagram,VS,15 - 30 minutes,Decorating games ,5
2/13/2025 15:26:18,10,Bouquets,Bracelet Making,Pasta,,Instagram,Cockrell-McIntosh,15 - 30 minutes,Cookies,8
2/13/2025 15:26:23,10,Bouquets,Cupcakes,Hot Chocolate,,PC Table at Hughes-Trigg,Ware,Less than 15 minutes,Cookies,8
2/13/2025 15:30:08,7,Bouquets,Cupcakes,Pasta,,Instagram,VS,30 minutes - 1 hour,,9
2/13/2025 15:32:10,10,Bouquets,Hot Chocolate,Photo Ops,,I ran into it accidentally ,"Mary Hay, Peyton, Shuttles",Less than 15 minutes,Gluten free food,3
2/13/2025 15:32:14,9,Bouquets,Bracelet Making,Hot Chocolate,,Instagram,I live off campus,15 - 30 minutes,Boba!,5
2/13/2025 15:32:22,3,Bouquets,Hot Chocolate,Cupcakes,,Instagram,"Mary Hay, Peyton, Shuttles",Less than 15 minutes,,5
2/13/2025 15:32:32,1,Photo Ops,Pasta,Hot Chocolate,I got hair in my food and the hot chocolate was watery ,Friends,"Mary Hay, Peyton, Shuttles",15 - 30 minutes,Something without hair in it :(,10
2/13/2025 15:35:00,8,Hot Chocolate,Photo Ops,Cupcakes,,Smu360,Upper Division Housing,30 minutes - 1 hour,Mexican or chinese,9
2/13/2025 15:37:34,10,Bouquets,Cupcakes,Photo Ops,,Instagram,Ware,1 - 1.5 hours,,8
2/13/2025 15:37:42,10,Bouquets,Hot Chocolate,Canvas Painting,,Instagram,Loyd,30 minutes - 1 hour,painting and florals!,8
2/13/2025 15:39:03,10,Bouquets,Pasta,Cupcakes,,Instagram,I live off campus,30 minutes - 1 hour,,4
2/13/2025 15:39:10,10,Bouquets,Pasta,Cupcakes,,Friends,I live off campus,30 minutes - 1 hour,Burger ,2
2/13/2025 15:44:33,10,Bouquets,Photo Ops,Photo Ops,,Instagram,McElvaney,15 - 30 minutes,Flowersss,7
2/13/2025 15:44:56,7,Cupcakes,Cupcakes,Hot Chocolate,gtg,"Digital signs (TV screens in Hughes-Trigg, residential commons, etc.)","Mary Hay, Peyton, Shuttles",1 - 1.5 hours,ccf,4
2/13/2025 15:46:14,7,Hot Chocolate,Cupcakes,Pasta,,Instagram,I live off campus,15 - 30 minutes,Painting!,4
2/13/2025 15:46:22,10,Bouquets,Cupcakes,Canvas Painting,,Instagram,Cockrell-McIntosh,15 - 30 minutes,pizza,4
2/13/2025 15:47:51,10,Bouquets,Cupcakes,Pasta,,Instagram,McElvaney,30 minutes - 1 hour,Crepes ,1
